time,system_size,queue_length
72.91150983804137,7,5
73.90221253576968,6,5
73.90221253576968,6,4
73.96165277735011,5,4
73.96165277735011,5,3
74.27609207859435,6,4
74.28305005161708,7,5
76.55256584183117,6,5
76.55256584183117,6,4
77.00440136261044,5,4
77.00440136261044,5,3
77.21731886902457,6,4
77.2641411532262,5,4
77.2641411532262,5,3
77.63923518016686,6,4
77.70708934914124,7,5
78.43237143146678,8,6
79.30745821403178,7,6
79.30745821403178,7,5
79.3192596757603,6,5
79.3192596757603,6,4
79.80787331792183,5,4
79.80787331792183,5,3
79.89708181544252,4,3
79.89708181544252,4,2
80.76700001143797,5,3
81.46668204674863,4,3
81.46668204674863,4,2
81.9312350784116,5,3
81.98573521878195,4,3
81.98573521878195,4,2
82.22319670095425,5,3
82.49450011641711,6,4
82.98510090101301,5,4
82.98510090101301,5,3
83.46107303251068,6,4
84.7246111345384,5,4
84.7246111345384,5,3
85.73804713448628,6,4
86.02114012654837,7,5
86.03439732801296,6,5
86.03439732801296,6,4
87.52794239912622,5,4
87.52794239912622,5,3
88.54463765718594,6,4
88.69394097408455,7,5
88.9169348907868,6,5
88.9169348907868,6,4
90.40583615322772,7,5
90.43849594598684,8,6
92.19082876219807,9,7
92.3237682546298,8,7
92.3237682546298,8,6
92.36748409893052,7,6
92.36748409893052,7,5
92.98779532736438,6,5
92.98779532736438,6,4
93.15507107376102,5,4
93.15507107376102,5,3
93.6935196677743,4,3
93.6935196677743,4,2
94.22345105093174,5,3
94.5413861169621,4,3
94.5413861169621,4,2
97.39829184403615,5,3
98.18839974200827,6,4
98.25446070094918,7,5
98.68031945222988,8,6
99.24478091963127,9,7
99.35513529101272,8,7
99.35513529101272,8,6
99.44449276920469,7,6
99.44449276920469,7,5
100.60630653842475,8,6
101.17127457327102,9,7
101.50481155674068,8,7
101.50481155674068,8,6
101.71371111950829,9,7
102.10814293042657,8,7
102.10814293042657,8,6
102.4016617167386,7,6
102.4016617167386,7,5
102.50408601858229,8,6
102.99173604263913,9,7
103.10994942644611,10,8
103.42293907464911,11,9
104.16917741630448,12,10
104.78641344096997,13,11
106.03972597960114,12,11
106.03972597960114,12,10
106.67376962505607,13,11
108.23738775921534,14,12
108.56690428749762,13,12
108.56690428749762,13,11
108.95244500024583,14,12
109.8895004511248,15,13
110.27761547237631,14,13
110.27761547237631,14,12
110.8812324112186,15,13
111.2776222228154,16,14
111.33105135501536,15,14
111.33105135501536,15,13
111.38401355061342,16,14
111.71184353585497,15,14
111.71184353585497,15,13
112.46589284996006,16,14
112.87095135020928,15,14
112.87095135020928,15,13
113.15128216293245,14,13
113.15128216293245,14,12
113.84849861922393,13,12
113.84849861922393,13,11
114.1404565315843,12,11
114.1404565315843,12,10
114.41099714627727,13,11
114.66347334952846,14,12
114.77939653783352,15,13
114.81275776238077,14,13
114.81275776238077,14,12
115.23268485748252,13,12
115.23268485748252,13,11
115.27710354059427,12,11
115.27710354059427,12,10
115.45620241952203,13,11
115.67900209064233,14,12
116.95251293007551,15,13
117.62687064293912,14,13
117.62687064293912,14,12
118.26572959348545,15,13
118.44124558949751,14,13
118.44124558949751,14,12
118.4621007877896,13,12
118.4621007877896,13,11
118.70254514477803,14,12
118.7547632694556,13,12
118.7547632694556,13,11
118.92210062992893,12,11
118.92210062992893,12,10
118.97498932294562,13,11
119.35927977339536,14,12
119.5834613940717,13,12
119.5834613940717,13,11
120.19398647882608,12,11
120.19398647882608,12,10
120.53028503671638,11,10
120.53028503671638,11,9
121.20604733738334,10,9
121.20604733738334,10,8
121.31045320248028,9,8
121.31045320248028,9,7
122.25020975565276,8,7
122.25020975565276,8,6
122.63318875644141,9,7
123.16103772177503,10,8
123.5383398856955,11,9
124.72741190961878,10,9
124.72741190961878,10,8
127.38921394152142,9,8
127.38921394152142,9,7
128.26838191560878,10,8
129.04302244846338,11,9
129.76531244424385,12,10
129.8293111461212,13,11
129.94168529248586,14,12
130.31885781833287,15,13
130.77274742886544,16,14
131.10957605000078,15,14
131.10957605000078,15,13
131.23103005540602,14,13
131.23103005540602,14,12
131.24863404692894,15,13
131.40220875243745,16,14
131.56483377976934,15,14
131.56483377976934,15,13
132.69459800267694,14,13
132.69459800267694,14,12
132.84182353953972,13,12
132.84182353953972,13,11
133.12266545035953,12,11
133.12266545035953,12,10
133.26910922851846,13,11
133.27825918533443,14,12
133.9361871997911,15,13
133.98659326059305,14,13
133.98659326059305,14,12
135.24028482736554,15,13
135.26402788337145,16,14
135.5726923390747,15,14
135.5726923390747,15,13
136.16839046139344,14,13
136.16839046139344,14,12
136.53248396309226,15,13
137.47215668149522,14,13
137.47215668149522,14,12
137.78864521605294,15,13
138.53583953254596,14,13
138.53583953254596,14,12
140.052761136961,15,13
140.20359671689212,14,13
140.20359671689212,14,12
140.55810251174125,13,12
140.55810251174125,13,11
140.7763853187973,12,11
140.7763853187973,12,10
140.78752510803994,13,11
140.80338131695402,12,11
140.80338131695402,12,10
141.09496296366686,11,10
141.09496296366686,11,9
141.67904059818443,12,10
142.2595279570502,11,10
142.2595279570502,11,9
142.56049429298136,10,9
142.56049429298136,10,8
143.18094501377055,11,9
143.70712139675032,12,10
144.0918787736619,11,10
144.0918787736619,11,9
144.9308740062162,10,9
144.9308740062162,10,8
145.20800271068416,11,9
145.39362618411582,10,9
145.39362618411582,10,8
145.67360489613256,9,8
145.67360489613256,9,7
145.70984041943296,10,8
147.99011849868023,9,8
147.99011849868023,9,7
148.41976684027205,8,7
148.41976684027205,8,6
148.81342678477466,9,7
149.27888654517832,8,7
149.27888654517832,8,6
149.87584462754177,7,6
149.87584462754177,7,5
149.9626568992265,8,6
150.1394719136427,9,7
150.1764606985691,8,7
150.1764606985691,8,6
150.45441498673847,9,7
150.91402566065537,10,8
151.79197333894044,11,9
151.98035144427345,10,9
151.98035144427345,10,8
152.91507214781439,11,9
153.28845710533554,12,10
153.43509105096896,11,10
153.43509105096896,11,9
154.29078448631466,10,9
154.29078448631466,10,8
154.76166647435724,11,9
154.79115916794035,10,9
154.79115916794035,10,8
155.9329227302342,11,9
157.40410899383028,10,9
157.40410899383028,10,8
159.41924610216415,9,8
159.41924610216415,9,7
159.43049449448088,8,7
159.43049449448088,8,6
159.4729691409937,9,7
160.2327553036155,8,7
160.2327553036155,8,6
160.81560798471014,7,6
160.81560798471014,7,5
160.8329480818834,6,5
160.8329480818834,6,4
163.00205698463094,5,4
163.00205698463094,5,3
164.31289491674767,6,4
164.77750234848014,5,4
164.77750234848014,5,3
165.86730356906241,4,3
165.86730356906241,4,2
165.88664528001905,5,3
166.48270245928666,6,4
167.00300721797535,5,4
167.00300721797535,5,3
167.42251993437208,6,4
167.5019635572316,5,4
167.5019635572316,5,3
168.04816275852954,4,3
168.04816275852954,4,2
168.21415277443984,3,2
168.21415277443984,3,1
168.39008210179364,2,1
168.39008210179364,2,0
169.56108006934,1,0
171.42136378259409,0,0
173.2964182127889,1,0
173.33528793850437,0,0
175.8209345631091,1,0
176.0062717686276,2,0
176.32393799292527,1,0
176.32888939781677,0,0
179.035791698919,1,0
179.37848236577986,2,0
179.7885468012863,3,1
180.03490730163452,4,2
180.1388924651002,3,2
180.1388924651002,3,1
180.35378970539443,2,1
180.35378970539443,2,0
181.037078466283,1,0
183.22297378850794,0,0
184.52430914917133,1,0
184.64815154292774,2,0
185.54652848334177,3,1
186.3189746107916,4,2
186.98820514926607,3,2
186.98820514926607,3,1
187.4296813742286,4,2
188.18008931030974,3,2
188.18008931030974,3,1
188.2892531219788,2,1
188.2892531219788,2,0
189.26882418967853,3,1
189.56271280161576,2,1
189.56271280161576,2,0
190.87731449760045,1,0
191.1594503137858,2,0
191.27688026898443,3,1
191.36175768098556,4,2
192.53592031242397,3,2
192.53592031242397,3,1
193.11321440187902,2,1
193.11321440187902,2,0
193.44758697200797,3,1
193.88962005593345,4,2
194.4681857391212,3,2
194.4681857391212,3,1
194.80068158283623,4,2
194.90654490981686,5,3
196.26728806615074,6,4
196.34190520798285,7,5
196.77026897192948,6,5
196.77026897192948,6,4
197.00145629225653,7,5
197.00681717073974,8,6
198.0489635291409,9,7
198.960349198502,10,8
199.30500790132976,9,8
199.30500790132976,9,7
199.4601684699403,10,8
200.12883937423416,9,8
200.12883937423416,9,7
201.06926352808216,10,8
201.16240299736708,9,8
201.16240299736708,9,7
201.39897711051287,8,7
201.39897711051287,8,6
201.82545909984418,7,6
201.82545909984418,7,5
202.31010975463334,6,5
202.31010975463334,6,4
203.0354660380243,7,5
203.0957600423382,6,5
203.0957600423382,6,4
203.17736681533904,5,4
203.17736681533904,5,3
203.60066558047993,6,4
203.65621008563875,5,4
203.65621008563875,5,3
203.89919778903572,4,3
203.89919778903572,4,2
204.2607691150884,5,3
204.5028862469071,6,4
204.5089772756056,5,4
204.5089772756056,5,3
204.57452303280658,4,3
204.57452303280658,4,2
204.6991786637007,3,2
204.6991786637007,3,1
