time,event,spares,repair_queue,busy_repairers,good_machines
1919.7344333016765,failure,2,0,1,12
1919.8192967368723,repair,3,0,0,13
1933.891945993104,failure,2,0,1,12
1936.2150301770048,repair,3,0,0,13
1945.4260271033363,failure,2,0,1,12
1945.9283250548508,repair,3,0,0,13
1947.4766837713223,failure,2,0,1,12
1948.1795642268119,failure,1,1,1,11
1950.0732327786047,failure,0,2,1,10
1950.7701257125468,repair,1,1,1,11
1952.0602822247822,repair,2,0,1,12
1952.8639858329418,repair,3,0,0,13
1965.2192103922323,failure,2,0,1,12
1965.7214504462977,repair,3,0,0,13
1981.1812286527063,failure,2,0,1,12
1981.3577352870996,repair,3,0,0,13
1993.660676348173,failure,2,0,1,12
1994.2776208788634,repair,3,0,0,13
2011.2765658935357,failure,2,0,1,12
2014.075730595941,repair,3,0,0,13
2019.0545107226233,failure,2,0,1,12
2021.90933083695,repair,3,0,0,13
2022.1063928831136,failure,2,0,1,12
2023.031441894951,repair,3,0,0,13
2026.7308802388484,failure,2,0,1,12
2027.7104811150618,repair,3,0,0,13
2036.761271913903,failure,2,0,1,12
2037.1383134970083,failure,1,1,1,11
2039.620604876664,repair,2,0,1,12
2040.617192541279,failure,1,1,1,11
2040.8539273214963,repair,2,0,1,12
2043.5013186118856,repair,3,0,0,13
2044.6641895128885,failure,2,0,1,12
2045.1527080636452,repair,3,0,0,13
2047.3786480325207,failure,2,0,1,12
2047.6469407163877,repair,3,0,0,13
2064.4933904747077,failure,2,0,1,12
2064.5227390305977,failure,1,1,1,11
2064.9614274659143,repair,2,0,1,12
2065.7993102807054,repair,3,0,0,13
2070.157612326369,failure,2,0,1,12
2070.6934368648804,repair,3,0,0,13
2071.9816268099303,failure,2,0,1,12
2072.2992144788855,repair,3,0,0,13
2075.726476106528,failure,2,0,1,12
2075.9774962700208,failure,1,1,1,11
2077.39484116286,repair,2,0,1,12
2080.7396409266703,repair,3,0,0,13
2094.013259277752,failure,2,0,1,12
2094.6664646566064,repair,3,0,0,13
2096.099493030823,failure,2,0,1,12
2097.152917304731,repair,3,0,0,13
2100.3528618237533,failure,2,0,1,12
2103.3595284685657,repair,3,0,0,13
2107.247392739481,failure,2,0,1,12
2107.358665737263,repair,3,0,0,13
2121.2057895841504,failure,2,0,1,12
2121.9037235359483,failure,1,1,1,11
2121.958192731098,failure,0,2,1,10
2122.7484273481873,repair,1,1,1,11
2124.7276219310406,repair,2,0,1,12
2126.178968940277,repair,3,0,0,13
2159.0845776632564,failure,2,0,1,12
2160.1163119660728,repair,3,0,0,13
2168.210247819705,failure,2,0,1,12
2169.410938809894,repair,3,0,0,13
2192.9962228526324,failure,2,0,1,12
2194.420154174539,repair,3,0,0,13
2208.406957079931,failure,2,0,1,12
2211.6072793637986,repair,3,0,0,13
2214.230954104275,failure,2,0,1,12
2214.3317687413587,repair,3,0,0,13
2225.5475495119217,failure,2,0,1,12
2226.704225013055,repair,3,0,0,13
2238.7354964722863,failure,2,0,1,12
2239.1971575659195,repair,3,0,0,13
2260.5908307997784,failure,2,0,1,12
2261.233604754205,repair,3,0,0,13
2263.734760956937,failure,2,0,1,12
2264.361853425261,repair,3,0,0,13
2274.2338338448067,failure,2,0,1,12
2274.93229522269,repair,3,0,0,13
2301.1292917681894,failure,2,0,1,12
2301.274017909511,repair,3,0,0,13
2301.955252331206,failure,2,0,1,12
2304.4165124953374,repair,3,0,0,13
2314.06799135975,failure,2,0,1,12
2314.2479045912382,repair,3,0,0,13
2320.940234521186,failure,2,0,1,12
2321.770191908275,repair,3,0,0,13
2351.9440733551414,failure,2,0,1,12
2353.8809334664725,repair,3,0,0,13
2360.1805535228827,failure,2,0,1,12
2361.7943125624797,failure,1,1,1,11
2362.6948094555437,repair,2,0,1,12
2362.826985527045,repair,3,0,0,13
2369.203540120675,failure,2,0,1,12
2371.0960048339066,repair,3,0,0,13
2373.212229051988,failure,2,0,1,12
2373.631808695083,repair,3,0,0,13
2377.969356537731,failure,2,0,1,12
2378.332480250806,repair,3,0,0,13
2397.0388236368576,failure,2,0,1,12
2397.6627772397924,repair,3,0,0,13
2409.0083750436925,failure,2,0,1,12
2409.3800809540185,repair,3,0,0,13
2419.4170004773696,failure,2,0,1,12
2419.594503023029,repair,3,0,0,13
2420.689015962451,failure,2,0,1,12
2421.5030464332795,repair,3,0,0,13
2442.911727582546,failure,2,0,1,12
2444.2381716709156,repair,3,0,0,13
2449.2802840983036,failure,2,0,1,12
2449.7873236209607,repair,3,0,0,13
2470.115958815938,failure,2,0,1,12
2470.137295261372,repair,3,0,0,13
2473.3838552178913,failure,2,0,1,12
2473.9960572319937,repair,3,0,0,13
2489.7943487973985,failure,2,0,1,12
2491.300570678072,repair,3,0,0,13
2493.8753853966077,failure,2,0,1,12
2493.9578662092454,repair,3,0,0,13
2504.6633991341805,failure,2,0,1,12
2504.909308641024,repair,3,0,0,13
2521.853126661769,failure,2,0,1,12
2524.02372398444,repair,3,0,0,13
2551.819080444235,failure,2,0,1,12
2552.6092542068955,repair,3,0,0,13
2569.363070395207,failure,2,0,1,12
2569.3700174312426,repair,3,0,0,13
2577.2962874216255,failure,2,0,1,12
2578.617539518744,repair,3,0,0,13
2583.910858951065,failure,2,0,1,12
2584.4832485297534,repair,3,0,0,13
2594.9767897222596,failure,2,0,1,12
2595.2755345715473,repair,3,0,0,13
2595.492907438349,failure,2,0,1,12
2595.8124780879552,repair,3,0,0,13
2596.911452811309,failure,2,0,1,12
2597.051680359489,repair,3,0,0,13
2597.8012634999645,failure,2,0,1,12
2598.033763631502,repair,3,0,0,13
2598.4398400428076,failure,2,0,1,12
2599.1606758755006,repair,3,0,0,13
2599.9196006513366,failure,2,0,1,12
2600.472032891379,repair,3,0,0,13
2626.6990672097168,failure,2,0,1,12
2627.729533265168,repair,3,0,0,13
2641.2336295724954,failure,2,0,1,12
2641.295668052711,repair,3,0,0,13
2699.7335453346145,failure,2,0,1,12
2701.3187453774017,repair,3,0,0,13
2708.5293696542262,failure,2,0,1,12
2708.598945499403,repair,3,0,0,13
2726.7396007011234,failure,2,0,1,12
2726.873120437442,repair,3,0,0,13
2739.913711230775,failure,2,0,1,12
2740.5663858728276,repair,3,0,0,13
2745.3231789995634,failure,2,0,1,12
2745.4248872826256,repair,3,0,0,13
2760.727816132066,failure,2,0,1,12
2761.8883836925966,repair,3,0,0,13
2786.112193808919,failure,2,0,1,12
2786.190012956886,repair,3,0,0,13
2789.3458873363143,failure,2,0,1,12
2789.4435658616694,repair,3,0,0,13
2797.550081330981,failure,2,0,1,12
2797.812364675122,repair,3,0,0,13
2805.422492858901,failure,2,0,1,12
2805.5024034822286,repair,3,0,0,13
2805.679589502832,failure,2,0,1,12
2806.5351745478533,repair,3,0,0,13
2808.1814593995664,failure,2,0,1,12
2809.8419128070395,repair,3,0,0,13
2819.4989150186757,failure,2,0,1,12
2820.2465940796033,repair,3,0,0,13
2828.353104564535,failure,2,0,1,12
2829.1947662607013,repair,3,0,0,13
2833.026244000387,failure,2,0,1,12
2833.157772466737,failure,1,1,1,11
2836.0767463814755,repair,2,0,1,12
2836.35631329904,repair,3,0,0,13
2845.7566564331773,failure,2,0,1,12
2846.99717167516,repair,3,0,0,13
2864.8714792224596,failure,2,0,1,12
2865.554461985525,repair,3,0,0,13
2877.9974828501495,failure,2,0,1,12
2879.132554392483,repair,3,0,0,13
2882.7699721345743,failure,2,0,1,12
2883.9825522839915,repair,3,0,0,13
2886.8389892633604,failure,2,0,1,12
2889.1276045226405,failure,1,1,1,11
2889.452919463337,repair,2,0,1,12
2890.640222181487,repair,3,0,0,13
2909.402694550116,failure,2,0,1,12
2909.575525638379,repair,3,0,0,13
2913.721177486809,failure,2,0,1,12
2914.941341975788,repair,3,0,0,13
2915.9922984345394,failure,2,0,1,12
2916.803482598581,failure,1,1,1,11
2917.7441693088863,repair,2,0,1,12
2919.584042069302,failure,1,1,1,11
2919.7382785007276,repair,2,0,1,12
2921.565914989404,repair,3,0,0,13
2929.4582419115336,failure,2,0,1,12
2930.010709906894,repair,3,0,0,13
2930.0866127504755,failure,2,0,1,12
2931.6211285443483,repair,3,0,0,13
2932.529021122811,failure,2,0,1,12
2933.7461740278786,failure,1,1,1,11
2933.8176270089343,repair,2,0,1,12
2934.2590601312286,repair,3,0,0,13
2935.2007655964685,failure,2,0,1,12
2936.38733851594,repair,3,0,0,13
2947.97335785795,failure,2,0,1,12
2948.2873517194575,repair,3,0,0,13
2962.1222515514187,failure,2,0,1,12
2962.499186114384,repair,3,0,0,13
2972.2609310860703,failure,2,0,1,12
2972.308543463017,repair,3,0,0,13
2977.356535909471,failure,2,0,1,12
2977.511745053415,repair,3,0,0,13
2979.822524202575,failure,2,0,1,12
2981.372838896953,failure,1,1,1,11
2983.0813741311517,repair,2,0,1,12
2983.841751553222,repair,3,0,0,13
2994.1697860577115,failure,2,0,1,12
2995.671054337628,repair,3,0,0,13
2997.479657804733,failure,2,0,1,12
2997.8863382685868,repair,3,0,0,13
3035.0732603042698,failure,2,0,1,12
3035.788109232289,repair,3,0,0,13
3050.1443363778612,failure,2,0,1,12
3050.6039781040613,repair,3,0,0,13
3074.3809003061265,failure,2,0,1,12
3074.608782849713,failure,1,1,1,11
3074.960572251242,failure,0,2,1,10
3075.6396942729284,repair,1,1,1,11
3076.183863757193,repair,2,0,1,12
3076.739563707835,repair,3,0,0,13
3080.29659630178,failure,2,0,1,12
3083.1872126013845,repair,3,0,0,13
3114.7218232588184,failure,2,0,1,12
3115.853996405538,repair,3,0,0,13
3122.6249759563493,failure,2,0,1,12
3122.925611385305,repair,3,0,0,13
3149.5148085184246,failure,2,0,1,12
3150.5855091666626,repair,3,0,0,13
3151.924341140371,failure,2,0,1,12
3154.1558531566766,repair,3,0,0,13
3155.000583005515,failure,2,0,1,12
3155.7591650939858,failure,1,1,1,11
3156.0192805997604,repair,2,0,1,12
3158.9163679346557,repair,3,0,0,13
3174.1852488138243,failure,2,0,1,12
3174.1936797493336,repair,3,0,0,13
3174.701275736712,failure,2,0,1,12
3174.9222552894907,repair,3,0,0,13
3176.233040706676,failure,2,0,1,12
3176.3983077552707,repair,3,0,0,13
3221.446169466868,failure,2,0,1,12
3222.1854963745436,repair,3,0,0,13
3229.6052556327913,failure,2,0,1,12
3229.9872165290544,failure,1,1,1,11
3230.2326992864023,repair,2,0,1,12
3230.4691772966207,repair,3,0,0,13
3253.6891428398517,failure,2,0,1,12
3253.9771448482143,repair,3,0,0,13
3259.8279037035986,failure,2,0,1,12
3261.3038513607694,repair,3,0,0,13
3262.6471935562126,failure,2,0,1,12
3263.2184615956403,failure,1,1,1,11
3263.8180752711405,repair,2,0,1,12
3264.4298376335073,repair,3,0,0,13
3275.935866210589,failure,2,0,1,12
3276.3114913790873,repair,3,0,0,13
3279.158164709083,failure,2,0,1,12
3281.119269700827,repair,3,0,0,13
3291.5351751444437,failure,2,0,1,12
3292.6021975500307,failure,1,1,1,11
3294.106566218518,repair,2,0,1,12
3295.3593165275843,repair,3,0,0,13
3310.3405227646085,failure,2,0,1,12
3310.3492396789816,repair,3,0,0,13
3319.2195813676226,failure,2,0,1,12
3321.2828554081266,repair,3,0,0,13
3338.1331940629434,failure,2,0,1,12
3339.674275921803,repair,3,0,0,13
3354.820219340853,failure,2,0,1,12
3355.1335235117567,repair,3,0,0,13
3358.516589445895,failure,2,0,1,12
3360.45710753123,repair,3,0,0,13
3360.855906691801,failure,2,0,1,12
3361.1949823901077,failure,1,1,1,11
3363.057128120403,repair,2,0,1,12
3363.8675513975118,failure,1,1,1,11
3364.2108232930404,repair,2,0,1,12
3364.403587379875,repair,3,0,0,13
3374.14279681269,failure,2,0,1,12
3376.048622714418,repair,3,0,0,13
3399.2198433292047,failure,2,0,1,12
3399.911471032298,repair,3,0,0,13
3421.1543776969697,failure,2,0,1,12
3422.0556343075395,repair,3,0,0,13
3425.6057193198585,failure,2,0,1,12
3426.6329718434295,repair,3,0,0,13
3433.8279027353537,failure,2,0,1,12
3434.2098149872677,repair,3,0,0,13
3441.021770304655,failure,2,0,1,12
3442.810571291968,repair,3,0,0,13
3445.0254442594132,failure,2,0,1,12
3445.6631512155773,repair,3,0,0,13
3453.363205208252,failure,2,0,1,12
3453.913691958219,repair,3,0,0,13
3460.5827405179143,failure,2,0,1,12
3463.3793600973477,repair,3,0,0,13
3480.454480651997,failure,2,0,1,12
3481.052770145362,repair,3,0,0,13
3485.141271042458,failure,2,0,1,12
3485.3178929862675,repair,3,0,0,13
3488.0353928817444,failure,2,0,1,12
3488.5834782818206,repair,3,0,0,13
3493.076074871855,failure,2,0,1,12
3494.2865905572817,repair,3,0,0,13
3501.037761157411,failure,2,0,1,12
3503.168024227312,repair,3,0,0,13
3531.6318607824537,failure,2,0,1,12
3532.2096596275487,repair,3,0,0,13
3553.145745004776,failure,2,0,1,12
3553.983666883293,repair,3,0,0,13
3558.6057207412564,failure,2,0,1,12
3560.396736406012,repair,3,0,0,13
3565.5060910435654,failure,2,0,1,12
3566.8081611855378,repair,3,0,0,13
3567.996441159969,failure,2,0,1,12
3568.4004772899534,repair,3,0,0,13
3568.5033259073202,failure,2,0,1,12
3568.6239488817364,repair,3,0,0,13
