N,S,repairers,seed,crash_time,crashed,repairer_utilization,average_repair_queue,average_good_machines,analytic_crash_time
8,3,1,1810,20530.501557876858,true,0.07927432999170274,0.006366480892079891,10.914359189116222,28839.062499992102
8,3,1,1811,29541.678293879024,true,0.07780003541311828,0.0064615620580605135,10.915738402528811,28839.062499992102
8,3,1,1812,1740.1066282744528,true,0.07610665988795788,0.003769496808418088,10.920123843303616,28839.062499992102
8,3,1,1813,8862.150102070336,true,0.07474187224849957,0.005969781894737068,10.919288345856758,28839.062499992102
8,3,1,1814,4681.976809969371,true,0.07238514891240673,0.006336816107507511,10.921278034980094,28839.062499992102
8,3,1,1815,2884.0505307993367,true,0.07811706607142213,0.00493851132882284,10.916944422599743,28839.062499992102
8,3,1,1816,56372.698997193824,true,0.08034111096980096,0.0063615975683722105,10.913297291461866,28839.062499992102
8,3,1,1817,15504.941676078966,true,0.08216579601245207,0.00679682283171795,10.911037381155861,28839.062499992102
8,3,1,1818,1861.3932223012366,true,0.08090844023159055,0.007601906806681476,10.911489652961738,28839.062499992102
8,3,1,1819,87385.93621556961,true,0.08006729907946655,0.0074424776462870944,10.912490223274265,28839.062499992102
8,3,1,1820,56586.991218537165,true,0.08194446529170572,0.0066915220856925755,10.911364012622583,28839.062499992102
8,3,1,1821,2306.936407439297,true,0.07960882459306133,0.008790482075194287,10.911600693331742,28839.062499992102
8,3,1,1822,32837.64498978305,true,0.07893901286986185,0.006203976838132889,10.914857010291984,28839.062499992102
8,3,1,1823,60403.08044826699,true,0.07943739171622438,0.007789429219616208,10.912773179064127,28839.062499992102
8,3,1,1824,22754.469841615093,true,0.08282462627311074,0.007614402075203276,10.909560971651707,28839.062499992102
8,3,1,1825,13318.206847720692,true,0.07339020920423886,0.006365221579613905,10.920244569216159,28839.062499992102
8,3,1,1826,18036.668748262808,true,0.08126049191148137,0.007344962937319172,10.911394545151214,28839.062499992102
8,3,1,1827,11892.188489331005,true,0.07577129042791944,0.004257767006903871,10.919970942565186,28839.062499992102
8,3,1,1828,23328.053671067442,true,0.08441587406714576,0.008253337977827067,10.907330787955019,28839.062499992102
8,3,1,1829,96405.94095642283,true,0.08214026277054225,0.00692553759698913,10.910934199632438,28839.062499992102
8,3,1,1830,6260.249360717872,true,0.09262510575311288,0.00926313853808873,10.898111755708793,28839.062499992102
8,3,1,1831,36561.308744773654,true,0.08160075031260172,0.007999883576029154,10.910399366111347,28839.062499992102
8,3,1,1832,59102.88569453478,true,0.08100159050462002,0.005691407861648751,10.913307001633715,28839.062499992102
8,3,1,1833,11440.703691125333,true,0.0774241920558378,0.007835002287675301,10.914740805656468,28839.062499992102
8,3,1,1834,29496.528088523635,true,0.07816751387129516,0.005432182250958476,10.916400303877762,28839.062499992102
8,3,1,1835,31661.30391459935,true,0.07884373602358427,0.005619749620837727,10.915536514355567,28839.062499992102
8,3,1,1836,42266.45127347483,true,0.0755455086120657,0.006988977845640904,10.917465513542329,28839.062499992102
8,3,1,1837,8883.496338989273,true,0.0841566604863708,0.007531152373941966,10.908312187139684,28839.062499992102
8,3,1,1838,12767.23118928652,true,0.07946510647459187,0.00828621757496591,10.912248675950435,28839.062499992102
