customer,server,arrival_time,service_start,departure_time,service_time,queue_wait,system_time
1,1,0.14518451436852475,0.14518451436852475,0.953382066227811,0.8081975518592862,0.0,0.8081975518592862
2,2,1.1000661868600816,1.1000661868600816,1.2354529452088474,0.13538675834876576,0.0,0.1353867583487658
3,1,1.1668865652358247,1.1668865652358247,2.260933551976625,1.0940469867408003,0.0,1.0940469867408003
4,2,3.2459128344266497,3.2459128344266497,4.662535470124265,1.4166226356976148,0.0,1.4166226356976153
5,1,5.090964448049499,5.090964448049499,6.565156906612177,1.4741924585626778,0.0,1.474192458562678
6,2,6.233076117915141,6.233076117915141,11.53961579300244,5.306539675087298,0.0,5.306539675087299
7,1,7.00042418448044,7.00042418448044,13.088900542984039,6.0884763585036,0.0,6.088476358503599
8,2,9.074576189206887,11.53961579300244,19.307252509987514,7.767636716985073,2.465039603795553,10.232676320780627
9,1,12.07251491874033,13.088900542984039,14.67747086403558,1.5885703210515414,1.0163856242437088,2.6049559452952504
10,1,12.589468762893906,14.67747086403558,15.965902484445337,1.288431620409757,2.088002101141674,3.3764337215514306
11,1,14.084051791984876,15.965902484445337,17.598808397432826,1.6329059129874874,1.8818506924604606,3.5147566054479498
12,1,16.71739540360808,17.598808397432826,19.207656980560817,1.6088485831279897,0.8814129938247461,2.4902615769527365
13,1,17.764608590828,19.207656980560817,20.066189386408723,0.8585324058479079,1.443048389732816,2.3015807955807226
14,2,19.34885807784739,19.34885807784739,20.104195165880917,0.7553370880335293,0.0,0.755337088033528
15,1,21.846809836465457,21.846809836465457,22.40076522527965,0.5539553888141899,0.0,0.5539553888141917
16,2,22.46027498777888,22.46027498777888,23.58973028284597,1.1294552950670873,0.0,1.129455295067089
17,1,23.006576846012432,23.006576846012432,24.15412890667174,1.1475520606593086,0.0,1.147552060659308
18,2,23.958308829178918,23.958308829178918,27.813500310783358,3.85519148160444,0.0,3.8551914816044395
19,1,24.751230404420415,24.751230404420415,29.637207834900448,4.885977430480032,0.0,4.8859774304800325
20,2,25.2583448452439,27.813500310783358,29.597506792167422,1.7840064813840657,2.555155465539457,4.339161946923522
21,2,27.862054218245664,29.597506792167422,32.48492197034061,2.8874151781731836,1.7354525739217586,4.622867752094944
22,1,28.266776353198757,29.637207834900448,32.14786364815122,2.510655813250773,1.37043148170169,3.881087294952465
23,1,29.944329728919207,32.14786364815122,35.76659914400032,3.618735495849094,2.203533919232015,5.822269415081109
24,2,31.904830245787654,32.48492197034061,34.06828620823623,1.5833642378956214,0.580091724552954,2.1634559624485767
25,2,33.5002078437942,34.06828620823623,46.93893238590455,12.870646177668322,0.5680783644420302,13.43872454211035
26,1,35.341783905664116,35.76659914400032,38.74220131025656,2.975602166256245,0.42481523833620116,3.400417404592446
27,1,35.64677270657071,38.74220131025656,41.27389371407564,2.5316924038190813,3.0954286036858534,5.6271210075049325
28,1,43.24037918332416,43.24037918332416,43.422559653604495,0.1821804702803386,0.0,0.18218047028033624
29,1,44.13662465966471,44.13662465966471,50.10831477609577,5.9716901164310565,0.0,5.971690116431056
30,2,44.51576453542256,46.93893238590455,47.32023809770424,0.3813057117996935,2.4231678504819882,2.8044735622816788
31,2,47.53028135464897,47.53028135464897,48.01450268934312,0.4842213346941471,0.0,0.48422133469414774
32,2,48.32900949875172,48.32900949875172,49.19501638535387,0.8660068866021485,0.0,0.8660068866021504
33,2,48.6531068449221,49.19501638535387,52.676698584223,3.4816821988691333,0.5419095404317673,4.0235917393008975
34,1,49.042173131133424,50.10831477609577,50.71357534371217,0.6052605676164083,1.066141644962343,1.671402212578748
35,1,50.23858764406882,50.71357534371217,50.796701077419364,0.08312573370719456,0.47498769964334997,0.5581134333505418
36,1,51.25217434960348,51.25217434960348,55.34111370302839,4.088939353424913,0.0,4.088939353424912
37,2,52.11135442046897,52.676698584223,53.0313148899089,0.35461630568590435,0.5653441637540269,0.9199604694399284
38,2,52.469979767676676,53.0313148899089,53.770975556707654,0.7396606667987549,0.5613351222322223,1.3009957890309778
39,2,54.93018003146598,54.93018003146598,54.95487285257846,0.02469282111247758,0.0,0.024692821112481056
40,2,54.931480194671096,54.95487285257846,57.08167379292564,2.126800940347179,0.023392657907365333,2.150193598254546
41,1,55.81623456341551,55.81623456341551,55.91557984243843,0.09934527902291816,0.0,0.0993452790229199
42,1,57.02659366715851,57.02659366715851,58.01970583388794,0.9931121667294315,0.0,0.993112166729432
43,2,57.1448864264991,57.1448864264991,61.70037797606597,4.555491549566875,0.0,4.555491549566874
44,1,59.11143872924298,59.11143872924298,59.1543351831471,0.042896453904116866,0.0,0.042896453904120335
45,1,59.78139344373495,59.78139344373495,61.02928436344711,1.2478909197121606,0.0,1.2478909197121624
46,1,60.259573192602375,61.02928436344711,61.457870029086294,0.4285856656391794,0.7697111708447366,1.1982968364839195
47,1,62.52512936434472,62.52512936434472,65.60123384382474,3.0761044794800294,0.0,3.0761044794800227
48,2,63.0842191035656,63.0842191035656,66.58913544298343,3.5049163394178304,0.0,3.504916339417832
49,1,63.9840495166401,65.60123384382474,70.86736413453188,5.266130290707142,1.6171843271846456,6.883314617891784
50,2,64.91217323996551,66.58913544298343,67.92432217422822,1.3351867312447925,1.676962203017922,3.0121489342627115
51,2,65.8425517254135,67.92432217422822,69.34210051436042,1.4177783401322026,2.081770448814723,3.4995487889469246
52,2,66.77738847070545,69.34210051436042,77.00440136261044,7.662300848250014,2.5647120436549784,10.227012891904991
53,1,67.16427921428432,70.86736413453188,73.90221253576968,3.034848401237788,3.703084920247562,6.737933321485357
54,1,68.75574773179792,73.90221253576968,73.96165277735011,0.05944024158043224,5.146464803971753,5.205905045552186
55,1,70.41394905445405,73.96165277735011,76.55256584183117,2.5909130644810636,3.5477037228960597,6.138616787377117
56,1,71.27277527275659,76.55256584183117,79.30745821403178,2.7548923722006085,5.279790569074578,8.034682941275193
57,2,72.52130754255876,77.00440136261044,77.2641411532262,0.2597397906157738,4.483093820051678,4.7428336106674465
58,2,72.91150983804137,77.2641411532262,79.80787331792183,2.5437321646956295,4.352631315184837,6.896363479880463
59,1,74.27609207859435,79.30745821403178,79.3192596757603,0.011801461728519449,5.0313661354374375,5.0431675971659615
60,1,74.28305005161708,79.3192596757603,81.46668204674863,2.1474223709883185,5.0362096241432255,7.183631995131549
61,2,77.21731886902457,79.80787331792183,79.89708181544252,0.08920849752069201,2.590554448897265,2.679762946417952
62,2,77.63923518016686,79.89708181544252,81.98573521878195,2.088653403339431,2.257846635275655,4.3465000386150905
63,1,77.70708934914124,81.46668204674863,82.98510090101301,1.5184188542643768,3.7595926976073883,5.278011551871771
64,2,78.43237143146678,81.98573521878195,84.7246111345384,2.7388759157564593,3.5533637873151775,6.29223970307163
65,1,80.76700001143797,82.98510090101301,88.9169348907868,5.931833989773798,2.218100889575041,8.149934879348834
66,2,81.9312350784116,84.7246111345384,86.03439732801296,1.3097861934745552,2.793376056126803,4.103162249601354
67,2,82.22319670095425,86.03439732801296,87.52794239912622,1.4935450711132572,3.81120062705871,5.3047456981719705
68,2,82.49450011641711,87.52794239912622,92.36748409893052,4.839541699804297,5.033442282709103,9.872983982513404
69,1,83.46107303251068,88.9169348907868,92.3237682546298,3.406833363842987,5.455861858276123,8.862695222119115
70,1,85.73804713448628,92.3237682546298,93.15507107376102,0.8313028191312273,6.585721120143518,7.417023939274742
71,2,86.02114012654837,92.36748409893052,92.98779532736438,0.6203112284338667,6.346343972382144,6.966655200816007
72,2,88.54463765718594,92.98779532736438,93.6935196677743,0.7057243404099143,4.4431576701784365,5.148882010588352
73,1,88.69394097408455,93.15507107376102,99.35513529101272,6.200064217251689,4.461130099676467,10.66119431692816
74,2,90.40583615322772,93.6935196677743,94.5413861169621,0.8478664491878105,3.287683514546572,4.135549963734377
75,2,90.43849594598684,94.5413861169621,99.44449276920469,4.903106652242582,4.102890170975257,9.005996823217842
