N,S,repairers,seed,crash_time,crashed,repairer_utilization,average_repair_queue,average_good_machines,analytic_crash_time
10,3,1,222,2084.636050785475,true,0.09545467009792792,0.008504612607197194,12.89604071729487,12339.99999999653
10,3,1,223,4808.419361142536,true,0.09973714814875057,0.008648842827994828,12.89161400902326,12339.99999999653
10,3,1,224,7902.04607341552,true,0.09506228573365094,0.011502160274575698,12.893435553991779,12339.99999999653
10,3,1,225,6741.775174464587,true,0.10384427268255642,0.012496562653291994,12.883659164664161,12339.99999999653
10,3,1,226,2327.6922495764893,true,0.10622892103129995,0.012713841557558721,12.881057237411136,12339.99999999653
10,3,1,227,26963.03989868853,true,0.10200729156440341,0.010985538866754494,12.8870071695689,12339.99999999653
10,3,1,228,9091.348308464187,true,0.09937903174015093,0.011630852334908924,12.888990115924926,12339.99999999653
10,3,1,229,6833.337368473898,true,0.10052589709837825,0.01172285032781007,12.88775125257382,12339.99999999653
10,3,1,230,21468.10592923189,true,0.10580491459875895,0.010592448352687484,12.883602637048568,12339.99999999653
10,3,1,231,15324.683112109953,true,0.09882471450482082,0.010008021608469002,12.891167263886706,12339.99999999653
10,3,1,232,6930.181322512272,true,0.10983147886427107,0.012209895069754492,12.877958626065984,12339.99999999653
10,3,1,233,13575.606054951926,true,0.09917357684244626,0.009409603649481738,12.891416819508068,12339.99999999653
10,3,1,234,19651.703170610046,true,0.09838414086150517,0.010224941856351095,12.891390917282145,12339.99999999653
10,3,1,235,8908.45773399365,true,0.10293239293758241,0.00855788426538861,12.88850972279705,12339.99999999653
10,3,1,236,13918.714655259128,true,0.09666490402974572,0.010559440326402256,12.89277565564387,12339.99999999653
10,3,1,237,21452.859903509714,true,0.09799001830618977,0.010411336643689014,12.891598645050138,12339.99999999653
10,3,1,238,11872.486517730094,true,0.09887943994204385,0.010848176052177784,12.890272384005804,12339.99999999653
10,3,1,239,8730.620828891893,true,0.10443858135794634,0.011473310877448172,12.88408810776458,12339.99999999653
10,3,1,240,2348.9663089178453,true,0.09472948963958214,0.011893021214760617,12.893377489145662,12339.99999999653
10,3,1,241,4203.641322595303,true,0.11837774249306275,0.013035756051895829,12.868586501455033,12339.99999999653
10,3,1,242,7722.372856775958,true,0.09723451864590733,0.00862772472601225,12.894137756628096,12339.99999999653
10,3,1,243,16404.466836931657,true,0.1006696586612617,0.00832191679770298,12.891008424541072,12339.99999999653
10,3,1,244,3561.653741793138,true,0.10832463582791432,0.011684711666582213,12.879990652505507,12339.99999999653
10,3,1,245,854.7485411991995,true,0.10546344295291447,0.021735689327404717,12.872800867719674,12339.99999999653
10,3,1,246,4407.9844128432815,true,0.09648635209292915,0.013557394533826277,12.889956253373228,12339.99999999653
10,3,1,247,4005.5497649646077,true,0.10439985322679562,0.012794750489490452,12.882805396283707,12339.99999999653
10,3,1,248,10369.826289846951,true,0.10010525056413325,0.009554136191121427,12.890340613244776,12339.99999999653
10,3,1,249,2828.136267787816,true,0.10426859003718936,0.007638676997709731,12.888092732965097,12339.99999999653
10,3,1,250,15522.737974078036,true,0.09842189478938153,0.012339248893349062,12.889238856317242,12339.99999999653
10,3,1,251,8123.415700822751,true,0.09562094469805628,0.010940347268719203,12.893438708033234,12339.99999999653
10,3,1,252,10617.075407059174,true,0.10123067710176878,0.010298551294681815,12.888470771603544,12339.99999999653
10,3,1,253,931.0694237468969,true,0.12978512504369424,0.012903858437472403,12.857311016518834,12339.99999999653
10,3,1,254,30053.890335727338,true,0.10785050599949192,0.011665183469940867,12.880484310530575,12339.99999999653
10,3,1,255,9464.889350590607,true,0.10102035284484248,0.011883566072777334,12.887096081082392,12339.99999999653
10,3,1,256,2495.1244286694573,true,0.09997615690199338,0.010260445763284158,12.88976339733473,12339.99999999653
10,3,1,257,1717.764213954524,true,0.09266545316391309,0.006413342008503636,12.900921204827585,12339.99999999653
10,3,1,258,2884.191201683021,true,0.11095477021654168,0.008635476100301367,12.88040975368315,12339.99999999653
10,3,1,259,9584.711202279257,true,0.09623615723618177,0.006960210234786445,12.89680363252903,12339.99999999653
10,3,1,260,1230.493596936056,true,0.10370227147873798,0.020866332122426924,12.875431396398836,12339.99999999653
10,3,1,261,5041.511291975899,true,0.11222610053112296,0.012463534049027664,12.875310365419855,12339.99999999653
10,3,1,262,4370.228968371676,true,0.09816027960187373,0.013684779315690792,12.888154941082432,12339.99999999653
10,3,1,263,13557.838894665698,true,0.09886677488464846,0.010443889527662665,12.890689335587725,12339.99999999653
10,3,1,264,6348.02953116573,true,0.10917549411554904,0.01731984269132248,12.873504663193131,12339.99999999653
10,3,1,265,1611.5169493684407,true,0.11035636647520547,0.015033478759258614,12.874610154765532,12339.99999999653
10,3,1,266,1754.777312902583,true,0.08818720102111914,0.00859269503351921,12.903220103945353,12339.99999999653
10,3,1,267,3732.375696796305,true,0.09075084562892335,0.011415310757456776,12.897833843613613,12339.99999999653
10,3,1,268,8760.11338442163,true,0.10413957314997126,0.011316078974253328,12.884544347875792,12339.99999999653
10,3,1,269,51764.417557632994,true,0.10202713569499508,0.011429736577176948,12.886543127727816,12339.99999999653
10,3,1,270,15873.984807829984,true,0.09827911237145764,0.009392954983534147,12.892327932645028,12339.99999999653
10,3,1,271,16230.00808476127,true,0.10121306656122298,0.010742227355519728,12.88804470608327,12339.99999999653
10,3,1,272,11828.483012032193,true,0.10094966301048876,0.010816195898398582,12.888234141091097,12339.99999999653
10,3,1,273,12263.996631559752,true,0.10127603847029813,0.009570857410028532,12.889153104119668,12339.99999999653
10,3,1,274,34973.1519683026,true,0.10263878802636407,0.011049273285021336,12.886311938688607,12339.99999999653
10,3,1,275,26846.944923881365,true,0.10188276789655056,0.012031155819712052,12.88608607628371,12339.99999999653
10,3,1,276,4971.672788536389,true,0.10108866935787635,0.008550337786495348,12.890360992855614,12339.99999999653
10,3,1,277,2163.3047621220685,true,0.11233918673438689,0.012679426430072081,12.874981386835547,12339.99999999653
10,3,1,278,31284.092295469523,true,0.10063883242443729,0.010293636816194687,12.889067530759394,12339.99999999653
10,3,1,279,4344.994404087219,true,0.10978125442935631,0.013902681103860086,12.87631606446677,12339.99999999653
