Fork_3,Think_5,Eat_4,Hungry_4,Think_4,Think_2,Hungry_5,time,Hungry_1,Hungry_3,Eat_3,Arbiter,Eat_1,Fork_1,Think_3,Hungry_2,Eat_5,Fork_5,Fork_2,Fork_4,Think_1,Eat_2
0,0,0,1,0,0,1,37.0855398010514,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,37.283197420688424,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,38.544957321604386,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,0,1,0,0,1,39.01527813422643,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,39.598197935420266,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,42.0887117220838,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,1,1,0,0,0,0,42.45658842130238,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,43.61725892765954,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,46.68985803877862,1,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,0,1,0,0,0,46.97174773696547,1,1,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,0,0,0,0,47.09099416443504,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,48.316238431694615,1,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,0,0,1,0,0,48.517830126900286,1,0,1,1,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,49.207162456709405,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,50.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
