time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5,Arbiter
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0
0.25,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
0.5,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
0.75,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
1.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
1.25,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
1.5,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
1.75,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
2.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
2.25,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.00022587262883144984,0.0,0.0,0.0,0.0,0.0,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,0.9997741273711686,3.998870636855843
