time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
0.25,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
0.5,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
0.75,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
1.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
1.25,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
1.5,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
1.75,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
2.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
2.25,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
2.5,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
2.75,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
3.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
3.25,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
3.5,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
3.75,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
4.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
4.25,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
4.5,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
4.75,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
5.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
5.25,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
5.5,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0002169844090851211,0.0,0.0,0.0,0.0,0.0,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149,0.9997830155909149
