t,S,I,R
0.0,990,10,0
0.22170201468459816,989,11,0
0.4187381648895242,989,10,1
0.45704075115651627,989,9,2
0.5015571924693848,988,10,2
0.9136460307932821,988,9,3
1.1279850033572947,987,10,3
1.2513662600880398,986,11,3
1.3082779501442605,986,10,4
1.3224874208665645,985,11,4
1.7162183305560266,985,10,5
1.8134847248514405,985,9,6
2.0166283225062345,984,10,6
2.3736412614622324,983,11,6
2.3843288222779986,982,12,6
2.5665500293605206,982,11,7
2.6049044380355526,981,12,7
2.682104660078978,981,11,8
2.686160289236048,981,10,9
2.745292870901782,980,11,9
2.924201428765518,979,12,9
3.076983434688252,979,11,10
3.259239571741394,979,10,11
3.467645796852802,978,11,11
3.505423228209102,978,10,12
3.9661884867761863,978,9,13
4.093389407664925,977,10,13
4.170688529765993,976,11,13
4.183962055857068,976,10,14
4.21021751381264,975,11,14
4.2179985421603154,974,12,14
4.272057853604367,973,13,14
4.5517260155290655,973,12,15
4.569222364647209,972,13,15
4.640874039929531,972,12,16
4.642887277581602,971,13,16
4.656432137536772,970,14,16
4.708347093664943,969,15,16
4.821108121918664,969,14,17
5.061578938621578,969,13,18
5.649353639573879,969,12,19
5.9725234383314625,969,11,20
6.118833599608521,968,12,20
6.182943077299678,967,13,20
6.236297824719665,967,12,21
6.2409179599539195,966,13,21
6.303266663187103,965,14,21
6.487893425836283,965,13,22
6.625062461496187,964,14,22
6.649643051274441,963,15,22
6.663589516041399,962,16,22
6.679658675625029,962,15,23
6.770138710304701,961,16,23
6.777417359254805,960,17,23
6.796041237071512,959,18,23
6.8867070230145195,958,19,23
6.947513007691597,958,18,24
6.958754676345234,958,17,25
6.973209331168553,957,18,25
7.09915409782308,956,19,25
7.125283627668943,955,20,25
7.1631361017366615,954,21,25
7.2681244229041795,954,20,26
7.268280687482392,954,19,27
7.352881153672913,954,18,28
7.361084628810792,954,17,29
7.401686652351158,954,16,30
7.713056084626752,954,15,31
7.8866117139143155,954,14,32
7.955903564327061,954,13,33
8.063389830516169,953,14,33
8.46559082278404,953,13,34
8.538246453944307,952,14,34
8.756010149524746,952,13,35
8.904786690563732,952,12,36
9.058588924638997,951,13,36
9.316498238260516,950,14,36
9.385500516388769,949,15,36
9.511210336670155,948,16,36
9.581022007823645,947,17,36
9.61327729257209,946,18,36
9.635838084852626,946,17,37
9.900012926079432,945,18,37
10.155956581808397,945,17,38
10.251405585216272,945,16,39
10.2623150283037,945,15,40
10.321006099591903,944,16,40
10.474944275284308,944,15,41
10.880861581763998,944,14,42
10.921634287484359,944,13,43
10.94807713455664,944,12,44
10.981075647763923,943,13,44
11.170340150318413,943,12,45
11.357407996648432,943,11,46
11.533627666570021,942,12,46
11.53518167020497,941,13,46
11.552414528201721,940,14,46
11.79762483883944,939,15,46
11.827418578153159,939,14,47
11.972861182661644,938,15,47
12.055315980593026,938,14,48
12.387679569458166,938,13,49
12.539230901850893,938,12,50
13.035053792110375,937,13,50
13.205808733093779,937,12,51
13.31813770202691,936,13,51
13.789053525146084,935,14,51
13.831628011540273,935,13,52
13.95476693679105,935,12,53
14.051042014175465,934,13,53
14.104142131227752,934,12,54
14.151518129280655,933,13,54
14.173011580533961,932,14,54
14.217285030009437,932,13,55
14.333847746651212,931,14,55
14.457989727081168,931,13,56
14.540552283833158,930,14,56
14.891290026444251,929,15,56
15.078511939837957,929,14,57
15.13393522682228,928,15,57
15.180051685512513,928,14,58
15.192967612900826,928,13,59
15.689587725510282,928,12,60
15.820915398148843,927,13,60
15.942282944669925,927,12,61
16.024396610055682,927,11,62
16.25960680276393,927,10,63
16.596916935506272,927,9,64
16.998561293320407,927,8,65
17.00269109723999,926,9,65
17.12534931175632,925,10,65
17.426219023966766,925,9,66
17.56587994179854,924,10,66
17.735855096781666,924,9,67
17.83554153588751,923,10,67
18.469281066729412,922,11,67
19.100045673079926,922,10,68
19.10292058170193,922,9,69
19.210526703679154,921,10,69
19.27552757297487,921,9,70
19.31351273564897,921,8,71
19.40729810301647,921,7,72
19.57368564156342,920,8,72
20.232039497085218,920,7,73
20.31731185691683,920,6,74
20.499280004522458,920,5,75
20.54018371040555,920,4,76
20.934132308409872,920,3,77
21.58927095604967,919,4,77
23.26087882274378,918,5,77
23.869810065359175,918,4,78
24.186800559556143,918,3,79
25.520638416034906,918,2,80
25.94693116143697,918,1,81
26.701452207266115,918,0,82
