t,S,I,R
0.0,990,10,0
0.11085100734229908,989,11,0
0.24958500520953122,988,12,0
0.299098689206803,988,11,1
0.3143924670464918,987,12,1
0.32645767939751164,987,11,2
0.5288745068573103,986,12,2
0.6194828425624407,985,13,2
0.6526043077094872,985,12,3
0.6556709044911958,984,13,3
0.806148786746428,983,14,3
0.8599377053414836,983,13,4
0.9344842501030433,983,12,5
0.9963914782935634,982,13,5
1.006383264480393,982,12,6
1.0090938228225808,982,11,7
1.1723065636183718,981,12,7
1.2258702361114475,981,11,8
1.2353956558688552,981,10,9
1.3600068796993579,980,11,9
1.3777902176214494,979,12,9
1.4478754903360427,978,13,9
1.6307867288934499,977,14,9
1.641438842555968,977,13,10
1.8332500209718003,977,12,11
1.8478470059728849,976,13,11
1.9058038592802942,975,14,11
1.9186859208828915,975,13,12
1.9193943188071931,974,14,12
1.9345515496664631,973,15,12
1.9768012124179355,973,14,13
1.9807222541518499,973,13,14
2.0789682745353306,972,14,14
2.1978453104916085,972,13,15
2.31571382550528,971,14,15
2.328028265529567,971,13,16
2.341590904867998,970,14,16
2.3889344527721006,970,13,17
2.4392168162679106,969,14,17
2.6001502550276507,968,15,17
2.748283789049446,968,14,18
2.8588402599930256,967,15,18
2.892618612445147,967,14,19
3.026992357397278,966,15,19
3.1506894696993077,965,16,19
3.345071663971858,964,17,19
3.3936726386416267,963,18,19
3.41239578363786,962,19,19
3.4436486585133315,962,18,20
3.456077531533176,962,17,21
3.465470369410848,961,18,21
3.5544034852165254,961,17,22
3.643965883749811,960,18,22
3.696414139813289,960,17,23
3.9394995325814928,959,18,23
4.001333492327992,959,17,24
4.060479275144072,959,16,25
4.079132054027143,959,15,26
4.15107248154406,958,16,26
4.185933783958929,957,17,26
4.264152338372191,957,16,27
4.514047507106215,956,17,27
4.5734090183642095,955,18,27
4.662514636034992,955,17,28
4.729814791644118,955,16,29
4.731452816679307,954,17,29
4.837222261890846,953,18,29
4.8742069100662055,953,17,30
4.979548828363604,952,18,30
4.985622565575518,951,19,30
5.163116608234701,950,20,30
5.203221151895752,950,19,31
5.227744008876969,949,20,31
5.251230836524507,948,21,31
5.2579987194463005,947,22,31
5.264312626494036,947,21,32
5.3050561841270705,947,20,33
5.358950722763902,946,21,33
5.399329213827492,945,22,33
5.415904046258791,944,23,33
5.515762943196426,944,22,34
5.596975231315292,943,23,34
5.63627887636473,942,24,34
5.670771012077251,941,25,34
5.672926691207315,940,26,34
5.675266215125241,940,25,35
5.699051107090216,939,26,35
5.733972845679291,938,27,35
5.864869950370888,937,28,35
5.885290885869907,937,27,36
6.0193862290357,936,28,36
6.04070598119727,936,27,37
6.153001009214219,936,26,38
6.15845628876116,936,25,39
6.160526760296783,936,24,40
6.180926704548011,935,25,40
6.210613068274841,934,26,40
6.347941647373418,933,27,40
6.439456056674107,932,28,40
6.52377222942008,932,27,41
6.555802039699491,931,28,41
6.583974859747812,931,27,42
6.611697601808564,931,26,43
6.681785790638723,930,27,43
6.7121788275983425,929,28,43
6.802111197735047,929,27,44
6.808001334000649,929,26,45
6.899625823547297,928,27,45
6.96457268566113,927,28,45
7.032445000624476,926,29,45
7.051894900034791,926,28,46
7.1354640549374855,925,29,46
7.160327532278073,925,28,47
7.262568349516058,924,29,47
7.4321489080949155,923,30,47
7.568000004191049,923,29,48
7.59976223822337,922,30,48
7.698694595568871,921,31,48
7.852663200961638,920,32,48
7.891622187048995,920,31,49
7.90005076546842,919,32,49
7.931306818509309,919,31,50
7.948412474090395,918,32,50
7.958337362848668,918,31,51
8.012409515716769,918,30,52
8.028519695910434,917,31,52
8.03473748663906,916,32,52
8.055375377582665,915,33,52
8.118975660726631,914,34,52
8.167682157305462,914,33,53
8.260648576324451,913,34,53
8.273638881240075,912,35,53
8.310896406005375,911,36,53
8.423645742960158,911,35,54
8.448821289512985,910,36,54
8.457176413751174,910,35,55
8.462647826199476,910,34,56
8.483735381279168,909,35,56
8.495104232712322,908,36,56
8.520540676307286,908,35,57
8.539192547192833,907,36,57
8.717754951532207,907,35,58
8.71875002566926,906,36,58
8.76043613745971,906,35,59
8.810842394827768,906,34,60
8.845864112146382,905,35,60
8.859320087903434,904,36,60
8.9021527569403,904,35,61
8.951994471008874,903,36,61
8.980734680582302,902,37,61
8.988431055822527,902,36,62
8.996141076267737,902,35,63
9.149618926574927,902,34,64
9.15582281630474,902,33,65
9.16007663647037,901,34,65
9.160469856585548,900,35,65
9.203379244963822,899,36,65
9.233310873385799,898,37,65
9.2993120968173,898,36,66
9.320031107521537,897,37,66
9.46410446943681,896,38,66
9.489201169770608,895,39,66
9.498629663053412,894,40,66
9.524425350655152,893,41,66
9.554286993347683,893,40,67
9.557140542607288,892,41,67
9.560025017528899,891,42,67
9.569582706475519,891,41,68
9.577748823178277,890,42,68
9.612692759403098,889,43,68
9.619561886155564,889,42,69
9.637315953543535,888,43,69
9.642513747259805,888,42,70
9.643161006246478,888,41,71
9.663272018682015,888,40,72
9.676699968212109,887,41,72
9.713450270473347,887,40,73
9.735945850851653,887,39,74
9.78829216292262,887,38,75
9.797358921099596,887,37,76
9.830574520868756,887,36,77
9.9219315309197,886,37,77
9.96767791528406,885,38,77
9.971884153544007,884,39,77
10.055714274726466,883,40,77
10.093807509806323,883,39,78
10.119885720662515,882,40,78
10.173078759210998,882,39,79
10.175936789827253,881,40,79
10.210737004526145,880,41,79
10.233237593378446,880,40,80
10.280761008306023,879,41,80
10.336861737395344,878,42,80
10.345464072787985,877,43,80
10.360624840873923,876,44,80
10.384827364086746,875,45,80
10.404727945116653,875,44,81
10.440752137740763,874,45,81
10.444050215412325,873,46,81
10.475758339966255,872,47,81
10.485649297181356,872,46,82
10.499482822189814,871,47,82
10.503221424606458,871,46,83
10.510001560105898,871,45,84
10.586365465621416,870,46,84
10.626099828272615,870,45,85
10.643563299531122,870,44,86
10.673551520348322,869,45,86
10.717327667537365,868,46,86
10.720070389850253,867,47,86
10.75648515607955,866,48,86
10.777111396334323,865,49,86
10.790607724990375,864,50,86
10.808812969498351,864,49,87
10.816032735704326,863,50,87
10.82870486400528,862,51,87
10.843587109057113,861,52,87
10.876739461848555,860,53,87
10.876847970080728,860,52,88
10.885226646124387,859,53,88
10.889926410933644,858,54,88
10.901714018133317,857,55,88
10.918158581115632,857,54,89
10.941209280675881,856,55,89
10.948251953778474,856,54,90
10.96718835139818,855,55,90
11.089117287189096,854,56,90
11.096224646317847,853,57,90
11.115008463560882,852,58,90
11.203958594861081,852,57,91
11.217847545642512,852,56,92
11.222882824281504,852,55,93
11.224981292585923,852,54,94
11.239605076912992,851,55,94
11.246012811308457,851,54,95
11.257292622040644,851,53,96
11.385971504186715,851,52,97
11.421958357920577,851,51,98
11.461521215661799,851,50,99
11.48517970677913,851,49,100
11.497956198033005,851,48,101
11.510886194662593,850,49,101
11.572232859236486,850,48,102
11.58055617196436,849,49,102
11.588645006567887,849,48,103
11.62145254885644,849,47,104
11.638497570482425,849,46,105
11.643439602015057,849,45,106
11.656044491876065,848,46,106
11.6580004079838,847,47,106
11.682226801970991,847,46,107
11.723003192776833,846,47,107
11.83322754243832,846,46,108
11.934315719733434,845,47,108
11.939020611203578,844,48,108
11.942028892852747,844,47,109
11.947686691417946,843,48,109
11.95935543847401,842,49,109
11.992670043724376,842,48,110
12.014955061391692,841,49,110
12.017534326851028,840,50,110
12.02083182673141,839,51,110
12.056176825157578,838,52,110
12.086439446422407,837,53,110
12.155254946609821,837,52,111
12.226299443773826,837,51,112
12.272133853468183,837,50,113
12.29071790383652,836,51,113
12.300056150037456,836,50,114
12.338044736590682,835,51,114
12.359732647943517,835,50,115
12.370728809267137,834,51,115
12.414416884350532,834,50,116
12.428291127982117,833,51,116
12.470206802624205,833,50,117
12.491949090367983,832,51,117
12.560038465396271,831,52,117
12.576190214389632,830,53,117
12.59132956503289,830,52,118
