t,S,I,R
11.933890445127668,559,82,359
11.997520911197881,558,83,359
12.026253886688078,558,82,360
12.074946497363944,557,83,360
12.116576383587113,556,84,360
12.131743087614185,556,83,361
12.146662535652096,556,82,362
12.156604423942328,555,83,362
12.186779712626143,554,84,362
12.213838628637077,553,85,362
12.243615073274203,552,86,362
12.275669954041401,551,87,362
12.325957199446549,550,88,362
12.347380324163026,549,89,362
12.364294988331434,548,90,362
12.381410221451276,547,91,362
12.435618110296552,547,90,363
12.442074234420863,546,91,363
12.505664174609874,546,90,364
12.514338520298837,545,91,364
12.51529432277697,544,92,364
12.537043766104125,543,93,364
12.575612385452981,543,92,365
12.622959910584203,542,93,365
12.628550150967131,542,92,366
12.62904070394507,541,93,366
12.677998202572947,540,94,366
12.732092565213017,540,93,367
12.82018374556225,540,92,368
12.89055138528635,539,93,368
12.915944603575761,538,94,368
12.924647957498944,538,93,369
12.931683143935503,537,94,369
12.95277937790904,536,95,369
12.975599877652629,535,96,369
12.975941833651897,535,95,370
12.98880786633015,535,94,371
13.01272732783387,535,93,372
13.032073290534314,534,94,372
13.043410323945007,533,95,372
13.060778590120197,532,96,372
13.06871408671149,531,97,372
13.076069196679839,531,96,373
13.123365550413125,530,97,373
13.124711683526485,530,96,374
13.145413645425634,530,95,375
13.18677003073536,530,94,376
13.21234596507805,529,95,376
13.216957078361924,528,96,376
13.241611398440677,527,97,376
13.288801000753342,527,96,377
13.299675924668122,526,97,377
13.311826956019289,525,98,377
13.315733596458177,524,99,377
13.337736290988625,523,100,377
13.345193418761252,523,99,378
13.37470587335355,522,100,378
13.383743790191971,522,99,379
13.407238680876123,522,98,380
13.40958791367997,522,97,381
13.4151563847536,521,98,381
13.449196324690368,521,97,382
13.450657891907706,520,98,382
13.456878157282057,519,99,382
13.466745287493993,518,100,382
13.488506193298589,517,101,382
13.540208066366407,516,102,382
13.545306979978953,515,103,382
13.55993881485288,514,104,382
13.561234060343025,513,105,382
13.568031362284993,512,106,382
13.59094521810833,512,105,383
13.613707210941383,512,104,384
13.620036319547966,512,103,385
13.631938518378513,512,102,386
13.634678888099167,512,101,387
13.670024892593645,511,102,387
13.67231349237217,510,103,387
13.672964292356651,510,102,388
13.694876318568863,510,101,389
13.73853152942031,510,100,390
13.751727140158922,510,99,391
13.767825172537636,510,98,392
13.770113176423498,509,99,392
13.782889500417669,508,100,392
13.802348002648872,507,101,392
13.823397952459759,506,102,392
13.869569344279913,506,101,393
13.883011899998618,505,102,393
13.885612840293065,505,101,394
13.96702267359127,505,100,395
13.997813997814344,504,101,395
14.012083541853235,504,100,396
14.016358614865313,503,101,396
14.030813518074826,502,102,396
14.031731396628537,502,101,397
14.04855294555892,501,102,397
14.052451311120421,501,101,398
14.083774001862109,501,100,399
14.126842373962775,500,101,399
14.1338133688191,500,100,400
14.166922757513627,499,101,400
14.171570434394212,498,102,400
14.175047139020153,498,101,401
14.19686499592205,498,100,402
14.210178633069326,497,101,402
14.216590642238412,497,100,403
14.217934514773367,496,101,403
14.21933571338625,495,102,403
14.232117895377387,495,101,404
14.239656805151917,494,102,404
14.245639224851333,494,101,405
14.248241567954494,494,100,406
14.266944474430613,494,99,407
14.288822178749436,493,100,407
14.317999180064916,492,101,407
14.328045404585257,492,100,408
14.358745622937423,491,101,408
14.370398988845508,491,100,409
14.419662703033971,491,99,410
14.440921103327211,490,100,410
14.472544948734646,489,101,410
14.485548753501403,489,100,411
14.514523601885461,488,101,411
14.529617568854789,488,100,412
14.537114275019254,487,101,412
14.555587620707334,486,102,412
14.590913076404938,485,103,412
14.593601125895438,484,104,412
14.593900161207879,483,105,412
14.595339765141144,483,104,413
14.633324527361609,483,103,414
14.633903722725298,483,102,415
14.635790010685689,482,103,415
14.648966391238368,481,104,415
14.670097410219169,480,105,415
14.68693321561851,479,106,415
14.703079634641488,479,105,416
14.70436781694307,479,104,417
14.709572397178812,478,105,417
14.7326094261816,478,104,418
14.763331285702206,477,105,418
14.766178066400423,476,106,418
14.770936936303576,475,107,418
14.780559983882874,474,108,418
14.799621864258993,474,107,419
14.802103504628242,474,106,420
14.857418113146068,474,105,421
14.861115928514895,474,104,422
14.864500830826572,473,105,422
14.871869384515474,472,106,422
14.879251800010945,472,105,423
14.89297131605076,472,104,424
14.899076609692147,472,103,425
14.918241361529649,471,104,425
14.919702790462628,470,105,425
14.925984572000045,469,106,425
14.934306858831734,468,107,425
14.944794264727715,467,108,425
14.94699350498989,467,107,426
14.947055504785837,466,108,426
14.977440768898392,465,109,426
14.997643694075599,464,110,426
15.014501476929544,464,109,427
15.058561305513372,464,108,428
15.082222527954212,463,109,428
15.082454131598022,462,110,428
15.096636574635395,461,111,428
15.10366078529169,461,110,429
15.10939486739893,461,109,430
15.114857313732873,460,110,430
15.140480668209754,460,109,431
15.151698054588962,459,110,431
15.190866399499996,459,109,432
15.218281502223931,459,108,433
15.219373257982491,458,109,433
15.253698879787656,458,108,434
15.262049413916328,457,109,434
15.265196742260148,457,108,435
15.3065023877198,456,109,435
15.347127911055892,455,110,435
15.376520098956185,454,111,435
15.388284291830834,454,110,436
15.411973902581805,453,111,436
15.425372601694024,452,112,436
15.426192446262508,452,111,437
15.447026535354183,451,112,437
15.506867576433155,451,111,438
15.526769275691525,451,110,439
15.543066955874966,450,111,439
15.545006115617413,450,110,440
15.555139166694698,449,111,440
15.571866303729438,449,110,441
15.58528708536679,449,109,442
15.597433369342427,448,110,442
15.616704655863568,447,111,442
15.621727155103052,446,112,442
15.647044534830897,446,111,443
15.679571326205817,446,110,444
15.745622286968473,446,109,445
15.74648320243684,445,110,445
15.773028477171222,445,109,446
15.79569473879605,445,108,447
15.798046944274404,444,109,447
15.836804640185106,443,110,447
15.841122869509508,442,111,447
15.866951881280173,441,112,447
15.908725725717375,440,113,447
15.979568846479243,439,114,447
15.981170496983642,438,115,447
15.994314476695653,438,114,448
15.999653138034969,437,115,448
16.02191109769007,437,114,449
16.02254514464259,437,113,450
16.0266186037285,437,112,451
16.075598411245505,436,113,451
16.09347588328348,436,112,452
16.111758949212785,435,113,452
16.151611791065264,435,112,453
16.15853813903181,434,113,453
16.18622227351011,434,112,454
16.216381995800482,434,111,455
16.22433169781745,433,112,455
16.228748382129833,432,113,455
16.24818421311241,432,112,456
16.25438905096581,431,113,456
16.257105202485853,430,114,456
16.315366599939953,430,113,457
16.387400716200915,430,112,458
16.460994627704537,430,111,459
16.478124169323134,430,110,460
16.486132717762437,430,109,461
16.48828762979311,429,110,461
16.4911394455328,428,111,461
16.509699137379584,428,110,462
16.545677469441756,428,109,463
16.560086038000936,428,108,464
16.57174061710187,427,109,464
16.576220132861792,427,108,465
16.5892767526801,426,109,465
16.604046617821744,426,108,466
16.624322295831682,426,107,467
16.62930372911662,426,106,468
16.64776977388707,426,105,469
16.650753478923367,425,106,469
16.66906530332728,424,107,469
16.677202587123364,423,108,469
16.694236625715575,422,109,469
16.698500412912406,421,110,469
16.715264962130487,421,109,470
16.724110528702695,421,108,471
16.82861891646464,421,107,472
16.900674664977757,421,106,473
16.924318416191348,421,105,474
16.94144729334732,420,106,474
16.942696843366406,419,107,474
16.95193572321871,418,108,474
17.01654099454524,418,107,475
17.02630778445398,417,108,475
17.032247018620563,416,109,475
17.048375130661885,416,108,476
17.054481849720847,416,107,477
17.101883142564635,415,108,477
17.10476892972329,415,107,478
17.135729165857953,415,106,479
17.139164681941924,415,105,480
17.18911564694442,415,104,481
17.20009690132552,414,105,481
17.266378366311436,414,104,482
17.281405819290832,414,103,483
17.28907072757128,414,102,484
17.29780547037231,414,101,485
17.310536566899042,413,102,485
17.326357734026093,412,103,485
17.344242281345757,412,102,486
17.378944774340628,411,103,486
17.40416416558667,411,102,487
17.41391316593143,410,103,487
17.42415264468645,409,104,487
17.4279845440724,409,103,488
17.440717528150007,408,104,488
17.44080050101388,407,105,488
17.450041246251732,406,106,488
17.457480835018732,406,105,489
17.48659307480254,406,104,490
17.48672624453223,405,105,490
17.503723137537314,404,106,490
17.543054212012596,404,105,491
17.577383840715942,403,106,491
17.603297605375396,403,105,492
17.644987043027424,402,106,492
17.682015144732123,401,107,492
17.69805403018594,401,106,493
17.771440359751463,401,105,494
17.78054441752517,400,106,494
17.781904431801223,400,105,495
17.797198250846307,400,104,496
17.845861982376,400,103,497
17.879891663545347,399,104,497
17.898656799465858,399,103,498
17.932640375325523,398,104,498
17.94192216639441,398,103,499
18.025985802280484,397,104,499
18.07191071219961,397,103,500
18.130125485502102,396,104,500
18.147505987473323,396,103,501
18.169090845056058,396,102,502
18.178925333451193,396,101,503
18.24451814103007,396,100,504
18.273068795971692,395,101,504
18.294577142369697,395,100,505
18.303523414090847,394,101,505
18.365797485070434,394,100,506
18.391829431369256,394,99,507
18.396851862430495,393,100,507
18.424071923595225,392,101,507
18.431834363491706,391,102,507
18.46232208556626,390,103,507
18.467214055618072,390,102,508
18.47573885265204,390,101,509
18.47929188179204,390,100,510
18.488546336989423,390,99,511
18.49791864716566,390,98,512
18.52118471697941,389,99,512
18.535227270789512,388,100,512
18.545247536760844,388,99,513
18.56981683256542,388,98,514
18.599005599539385,388,97,515
18.64524039829262,387,98,515
18.671027540597052,387,97,516
18.68339032610833,387,96,517
18.701598993107762,387,95,518
18.723458369893084,387,94,519
18.72551039036065,387,93,520
18.750310396998557,387,92,521
18.83066884679191,386,93,521
18.892279934199905,386,92,522
18.947287081698548,386,91,523
18.972581677393507,385,92,523
19.018813213550768,385,91,524
19.11269851386549,385,90,525
19.1152730266287,384,91,525
19.11611792790525,383,92,525
19.132682828259146,382,93,525
19.159689921522304,381,94,525
19.21500669567218,380,95,525
19.219518724714604,380,94,526
19.24263304152485,379,95,526
19.269053206272062,379,94,527
19.277341542029475,379,93,528
19.2801327899776,379,92,529
19.326784333174732,379,91,530
19.340386534146198,379,90,531
19.345827499352865,378,91,531
19.409459933855803,377,92,531
19.42693956449272,376,93,531
19.433557608719266,375,94,531
19.457049912746925,375,93,532
19.554798806255214,375,92,533
19.573428958045604,374,93,533
19.57947830658783,374,92,534
19.59506712990596,374,91,535
19.601045473535954,373,92,535
19.60183164524055,372,93,535
19.656095023861493,371,94,535
19.69074770256433,370,95,535
19.730084379479162,369,96,535
19.85615072484181,369,95,536
19.85708517671749,369,94,537
19.909644779915617,368,95,537
19.937991243640724,368,94,538
19.967199607390633,367,95,538
19.97219837121654,366,96,538
19.97497489544113,365,97,538
19.989433116872753,364,98,538
19.996603545449407,364,97,539
20.010635870275543,364,96,540
20.022275362100064,364,95,541
20.065377284471598,363,96,541
20.076723077891156,363,95,542
20.081327794190003,363,94,543
20.09854072027259,363,93,544
20.098855486243632,362,94,544
20.144090742744304,361,95,544
20.16456747607826,361,94,545
20.18117074259085,361,93,546
20.188094155375175,360,94,546
20.246881356512706,360,93,547
20.264729669640747,360,92,548
20.311829768331183,359,93,548
20.32793737653324,359,92,549
20.36692583111889,359,91,550
20.368300253001383,359,90,551
20.379417630466,358,91,551
20.39801133668462,358,90,552
20.45329417464164,358,89,553
20.462018815725116,357,90,553
20.514632132661887,356,91,553
20.52321568160893,356,90,554
20.529152660168347,356,89,555
20.537512920420866,356,88,556
20.54574213570163,355,89,556
20.581809450765288,354,90,556
20.601350953824063,354,89,557
20.609982890008965,354,88,558
20.6191024771354,354,87,559
20.67189744504627,354,86,560
20.694351723591296,353,87,560
20.699066763071517,353,86,561
20.703444763578574,352,87,561
20.724792776548313,351,88,561
20.735120914986023,350,89,561
20.812128211426185,349,90,561
20.82213467249997,349,89,562
20.82873065021613,349,88,563
20.83591377640065,348,89,563
20.86533690021351,348,88,564
20.866514500494752,347,89,564
20.89597861340537,347,88,565
20.91588698370582,346,89,565
20.933787877492577,345,90,565
20.955966697873258,345,89,566
20.96094012003129,345,88,567
