t,S,E,I,R
9.27666015115752,927,21,21,31
9.30194688157562,926,22,21,31
9.384673538095226,925,23,21,31
9.414418274423413,925,22,22,31
9.518346896932666,925,21,23,31
9.52365135589737,924,22,23,31
9.563133994117331,923,23,23,31
9.566039146376683,923,22,24,31
9.713516424016365,922,23,24,31
9.722831546097847,922,22,25,31
9.78754270189473,922,21,26,31
9.81906017163317,922,21,25,32
9.85095054110322,921,22,25,32
9.865589177691454,921,21,26,32
9.894435069089761,920,22,26,32
9.930992801938013,920,21,27,32
10.02133823577,920,21,26,33
10.044652660065568,919,22,26,33
10.092676780574676,918,23,26,33
10.11157105358563,918,23,25,34
10.11644063491785,917,24,25,34
10.13437034344538,917,24,24,35
10.166753873168268,916,25,24,35
10.245062233532304,916,25,23,36
10.26887905876199,916,24,24,36
10.311565052069138,916,24,23,37
10.390222010093645,916,24,22,38
10.44852714123451,916,24,21,39
10.462965196428607,916,23,22,39
10.502320368539026,915,24,22,39
10.50503464556186,914,25,22,39
10.509127771155786,913,26,22,39
10.532704418687782,912,27,22,39
10.692373072256903,912,26,23,39
10.743631562352281,912,25,24,39
10.776441130581036,911,26,24,39
10.866771215547775,910,27,24,39
10.891026582611492,909,28,24,39
10.926813051875678,908,29,24,39
10.984017177498204,908,28,25,39
10.98783272355694,907,29,25,39
11.025020820381897,907,28,26,39
11.071481647985989,907,28,25,40
11.079161799474686,906,29,25,40
11.09930449973777,906,28,26,40
11.106786427093628,905,29,26,40
11.111842054627202,905,28,27,40
11.125873950460461,905,28,26,41
11.18840195859062,905,27,27,41
11.209157763909893,905,26,28,41
11.217453213672876,904,27,28,41
11.225763933663576,904,26,29,41
11.256209326748657,903,27,29,41
11.26668013428912,902,28,29,41
11.268475437136651,902,27,30,41
11.269165768029469,902,26,31,41
11.287530184099907,902,25,32,41
11.296313883135053,902,25,31,42
11.33602646446018,902,25,30,43
11.384384988864527,901,26,30,43
11.40139446311335,901,25,31,43
11.409787123376372,901,24,32,43
11.441557343190237,900,25,32,43
11.452001257403513,900,24,33,43
11.461043462523113,900,23,34,43
11.502466448650472,900,23,33,44
11.551568962808613,900,23,32,45
11.554981335378368,899,24,32,45
11.595747632051134,899,23,33,45
11.60695789374636,899,23,32,46
11.609617191838968,899,23,31,47
11.650717293818008,898,24,31,47
11.729203611103015,897,25,31,47
11.750593881677599,896,26,31,47
11.755416478820768,896,26,30,48
11.781683844811258,896,25,31,48
11.78504534951311,896,24,32,48
11.785336322156038,895,25,32,48
11.839959962141272,895,24,33,48
11.894099850268416,894,25,33,48
11.897290967695005,893,26,33,48
11.910440011576911,892,27,33,48
11.92014749505957,891,28,33,48
11.984728476872082,891,28,32,49
12.001997032179675,890,29,32,49
12.081167538127854,890,29,31,50
12.140440347361984,890,28,32,50
12.176273617093399,890,27,33,50
12.176764966178814,889,28,33,50
12.204337056028525,889,28,32,51
12.219776876587567,889,28,31,52
12.313592687508521,888,29,31,52
12.330910318784236,888,29,30,53
12.343758501852243,888,28,31,53
12.406317597759664,887,29,31,53
12.42981738711391,887,29,30,54
12.443664797757078,886,30,30,54
12.45832050611882,886,30,29,55
12.51767236285613,885,31,29,55
12.611027587380828,885,31,28,56
12.651928644320515,885,31,27,57
12.670147824866735,884,32,27,57
12.683017446384532,884,32,26,58
12.703476696389831,884,31,27,58
12.716926377549374,884,30,28,58
12.812405484241912,883,31,28,58
12.821686392699633,883,31,27,59
12.85601019983633,883,30,28,59
12.886741659828068,883,29,29,59
12.932686802059818,883,29,28,60
13.020147686242048,882,30,28,60
13.033079679977876,881,31,28,60
13.04159015197422,880,32,28,60
13.054525260960052,879,33,28,60
13.07549811588465,878,34,28,60
13.10113217971695,877,35,28,60
13.239475955811377,877,34,29,60
13.257502305988659,876,35,29,60
13.286276061749437,875,36,29,60
13.28852203770441,874,37,29,60
13.31376522858102,874,36,30,60
13.354752314844744,873,37,30,60
13.355009713013079,873,37,29,61
13.357914023662207,873,36,30,61
13.358006195332306,872,37,30,61
13.426611306759453,872,36,31,61
13.446597528362991,872,35,32,61
13.451364561500764,871,36,32,61
13.490955097035227,871,35,33,61
13.530776593816576,871,34,34,61
13.53919730300694,870,35,34,61
13.546463970378216,869,36,34,61
13.60038262070546,868,37,34,61
13.61174625610994,868,37,33,62
13.620889221507555,867,38,33,62
13.630144936374599,867,38,32,63
13.645648315999845,867,38,31,64
13.661640200317711,867,37,32,64
13.663344057027789,866,38,32,64
13.668682176438177,866,37,33,64
13.692677558351626,866,36,34,64
13.705031181693226,866,36,33,65
13.739514699784335,866,36,32,66
13.755802807989362,866,35,33,66
13.784824427596423,865,36,33,66
13.803211384742935,865,36,32,67
13.803213633094522,864,37,32,67
13.805605785284847,864,36,33,67
13.821502009011276,863,37,33,67
13.85263270247523,862,38,33,67
13.85538284139751,862,37,34,67
13.898950976319405,862,36,35,67
13.993729807427053,862,35,36,67
14.037253105278229,861,36,36,67
14.103012279674205,861,36,35,68
14.123672822394274,861,36,34,69
14.17150182035874,860,37,34,69
14.183376583226304,860,36,35,69
14.201343708314775,860,36,34,70
14.21569971702511,860,35,35,70
14.223727348873656,859,36,35,70
14.225808307204629,859,36,34,71
14.228213271845311,859,35,35,71
14.277219642446024,858,36,35,71
14.306148001115382,857,37,35,71
14.331896484130063,857,36,36,71
14.352354113459686,857,35,37,71
14.44030335647319,857,34,38,71
14.454836849225458,856,35,38,71
14.48389144682141,856,35,37,72
14.491588128012836,856,34,38,72
14.498985713222675,855,35,38,72
14.50207621257219,855,35,37,73
14.539382003110296,855,34,38,73
14.55124386693019,855,33,39,73
14.563226457996269,854,34,39,73
14.594247828138837,854,33,40,73
14.641103623960586,853,34,40,73
14.691583476721839,853,34,39,74
14.69327711545412,853,34,38,75
14.720465709994912,853,34,37,76
14.754334095678983,853,34,36,77
14.828241154456133,853,33,37,77
14.863611174462184,853,33,36,78
14.875500796680619,853,32,37,78
14.875696734902286,852,33,37,78
14.908788966684904,852,32,38,78
15.054745622956247,851,33,38,78
15.055415146154623,851,32,39,78
15.062065266731059,850,33,39,78
15.0917091931704,849,34,39,78
15.110901287198756,848,35,39,78
15.133783681615867,847,36,39,78
15.178302242990378,846,37,39,78
15.21806816005061,846,37,38,79
15.231797962898007,846,37,37,80
15.280094354246508,846,37,36,81
15.280423883567105,846,36,37,81
15.286157356418329,846,36,36,82
15.315328824350374,845,37,36,82
15.337903430073084,845,36,37,82
15.347351517514785,845,35,38,82
15.387674104143262,845,35,37,83
15.420094774371067,844,36,37,83
15.434796743400454,844,35,38,83
15.44290149983506,844,35,37,84
15.448367874663306,843,36,37,84
15.492102919464653,843,36,36,85
15.504025351703799,843,36,35,86
15.52233609319424,843,35,36,86
15.522894351171963,842,36,36,86
15.549514013117516,842,35,37,86
15.554927815222067,842,34,38,86
15.568110156110073,841,35,38,86
15.57295783454742,841,35,37,87
15.595662926406103,841,35,36,88
15.618892154793057,840,36,36,88
15.620046419705707,840,35,37,88
15.626575947785062,839,36,37,88
15.643191780098265,839,35,38,88
15.656195548109206,838,36,38,88
15.660934617425397,837,37,38,88
15.671853295099998,837,36,39,88
15.711726196006458,836,37,39,88
15.712455090752776,835,38,39,88
15.720855070616787,835,37,40,88
15.751106323093495,834,38,40,88
15.75985195331984,834,38,39,89
15.78338973951802,833,39,39,89
15.826395862280426,832,40,39,89
15.866496949967457,832,39,40,89
15.873079151203527,831,40,40,89
15.883319442009096,830,41,40,89
15.925404144034012,829,42,40,89
15.933153665513528,829,41,41,89
15.939210316206808,828,42,41,89
15.945915205994112,827,43,41,89
16.01958543210573,827,42,42,89
16.028547147143176,827,42,41,90
16.028756190318955,827,41,42,90
16.03275078750679,827,40,43,90
16.060366606844305,827,39,44,90
16.087215544502442,827,39,43,91
16.114484747052142,827,39,42,92
16.149181055154973,827,38,43,92
16.151468942669432,826,39,43,92
16.16901459192782,826,38,44,92
16.186446619317792,825,39,44,92
16.187371723412056,825,39,43,93
16.239494633555633,825,38,44,93
16.260816362585942,824,39,44,93
16.278785850099272,824,39,43,94
16.311933228127238,824,38,44,94
16.35892932435098,824,37,45,94
16.38659632727423,823,38,45,94
16.402350220054355,822,39,45,94
16.44991275634149,822,38,46,94
