t,S,I,R
3.6022434376674313,885,78,37
3.641403960715323,884,79,37
3.653635293712847,883,80,37
3.671006275451088,882,81,37
3.691087564635678,881,82,37
3.706278633491178,880,83,37
3.7133145457348937,879,84,37
3.7413422435473405,879,83,38
3.743564936597784,878,84,38
3.756350572481572,878,83,39
3.759792140855638,877,84,39
3.7635033036305496,877,83,40
3.7969271988407436,876,84,40
3.831537650189133,875,85,40
3.84754069294163,874,86,40
3.8481168147731317,873,87,40
3.854445031143951,872,88,40
3.858205731187938,871,89,40
3.869416738134336,870,90,40
3.8779384600523095,870,89,41
3.880057675472405,869,90,41
3.8829609319732428,868,91,41
3.884926389580246,867,92,41
3.9004834196469553,866,93,41
3.9135851190670423,865,94,41
3.9215797793080736,865,93,42
3.9282395189445123,864,94,42
3.937719357724841,864,93,43
3.958569266617765,863,94,43
3.966289815621481,863,93,44
3.966437313259217,862,94,44
4.006009080480479,861,95,44
4.023584361956454,860,96,44
4.027132751312106,859,97,44
4.028964755709838,859,96,45
4.036960295985415,858,97,45
4.038016455910449,857,98,45
4.051363994185401,856,99,45
4.053033288173239,855,100,45
4.056700912820404,854,101,45
4.065968281141375,853,102,45
4.068581265788104,852,103,45
4.072552098221452,851,104,45
4.07796933538348,850,105,45
4.078849802870222,850,104,46
4.081811219985986,850,103,47
4.082104643497566,849,104,47
4.0915975259469555,848,105,47
4.1108092136281025,847,106,47
4.1111336918086785,846,107,47
4.114197436445301,845,108,47
4.129599095215121,844,109,47
4.138857137170077,844,108,48
4.141202293331958,844,107,49
4.143120563111062,843,108,49
4.1512692171260035,843,107,50
4.157171152533689,842,108,50
4.182959930259395,841,109,50
4.188758128945942,841,108,51
4.235818835606031,841,107,52
4.26066636475702,841,106,53
4.271584057988242,840,107,53
4.274369922109619,839,108,53
4.30017845633947,838,109,53
4.311417872628377,837,110,53
4.314883281555279,836,111,53
4.322580671575769,835,112,53
4.325340207354936,834,113,53
4.350144164892536,833,114,53
4.38000298732794,832,115,53
4.3859057527444145,831,116,53
4.425461316659392,830,117,53
4.4354097169534,829,118,53
4.470447514975428,828,119,53
4.472497430851653,828,118,54
4.490438093247451,828,117,55
4.499133880877436,827,118,55
4.5036686985462735,826,119,55
4.5042081403490375,825,120,55
4.5276639023425185,825,119,56
4.528938836783699,825,118,57
4.5420805370775845,824,119,57
4.556767964898799,823,120,57
4.55767307727504,822,121,57
4.5610711969932165,821,122,57
4.61779762294881,820,123,57
4.62593283485025,819,124,57
4.628751452242862,819,123,58
4.639237732005059,818,124,58
4.671265677780546,817,125,58
4.672382061111393,816,126,58
4.694406665090233,815,127,58
4.706673319767562,814,128,58
4.7109180835192515,813,129,58
4.7139716562700995,812,130,58
4.715004168057292,811,131,58
4.7183250242970685,810,132,58
4.722521040933239,810,131,59
4.7273060893051975,809,132,59
4.737139200644504,808,133,59
4.758098809974774,807,134,59
4.767541981694821,806,135,59
4.771809842622127,805,136,59
4.793535276512074,805,135,60
4.794533356186742,805,134,61
4.808027552134453,804,135,61
4.81748584535919,803,136,61
4.817702181475693,802,137,61
4.821108121918664,802,136,62
4.826659394531742,802,135,63
4.837764787154929,801,136,63
4.840921977836747,800,137,63
4.855981374693331,799,138,63
4.858724386057735,798,139,63
4.862658885127496,797,140,63
4.86707975856706,796,141,63
4.868378454465344,795,142,63
4.870512116077515,795,141,64
4.872324647480528,795,140,65
4.895532301913312,794,141,65
4.902536680459129,793,142,65
4.919359918055515,792,143,65
4.929414026864657,791,144,65
4.933325994956898,790,145,65
4.93492897163773,789,146,65
4.948033850808361,789,145,66
4.956002449102514,788,146,66
4.964020288373984,787,147,66
4.964426578993064,786,148,66
4.968041501290737,786,147,67
4.974166635545675,786,146,68
4.98950742228155,785,147,68
5.0048758579666615,785,146,69
5.009378992545589,784,147,69
5.013316898702385,784,146,70
5.026129405396674,783,147,70
5.032944215309213,782,148,70
5.0483846902103116,782,147,71
5.04890801232773,781,148,71
5.082989391268876,781,147,72
5.08321014760189,780,148,72
5.083705179244946,779,149,72
5.102614494102628,778,150,72
5.107064094770239,777,151,72
5.130883616024194,776,152,72
5.132746578148556,776,151,73
5.14482927349372,775,152,73
5.150214966560109,774,153,73
5.157795348201061,773,154,73
5.160508525071361,773,153,74
5.162754210936905,772,154,74
5.207391920127826,771,155,74
5.235462250700724,770,156,74
5.240329344129509,770,155,75
5.241573998572922,770,154,76
5.250222921782369,769,155,76
5.254358446886921,769,154,77
5.274488797539748,768,155,77
5.276188517096787,767,156,77
5.27895320369943,767,155,78
5.289577536831175,766,156,78
5.290917397320884,765,157,78
5.300580952566985,765,156,79
5.306804326719542,765,155,80
5.323477254491675,764,156,80
5.331041657224924,764,155,81
5.343354261018609,763,156,81
5.353050693999625,762,157,81
5.365246598587694,761,158,81
5.3689725086246085,760,159,81
5.378193554416808,759,160,81
5.380471319054198,758,161,81
5.385334704869289,758,160,82
5.394048322055209,757,161,82
5.395868306758812,756,162,82
5.397253871600439,755,163,82
5.398994474894771,754,164,82
5.401283185968031,753,165,82
5.405272044273685,752,166,82
5.407550559337032,751,167,82
5.4272250133144295,751,166,83
5.429167220087142,750,167,83
5.444358405907234,749,168,83
5.453368155116451,749,167,84
5.45344428594998,748,168,84
5.458929414515214,747,169,84
5.471374191862455,746,170,84
5.48019005075681,746,169,85
5.483937979047827,745,170,85
5.48877161586451,745,169,86
5.507890573825014,744,170,86
5.5128711672108,743,171,86
5.54440295349263,742,172,86
5.546159188429373,741,173,86
5.547498389232211,740,174,86
5.548263652759454,740,173,87
5.555478125575939,740,172,88
5.563774432143796,739,173,88
5.575577429580946,738,174,88
5.5802141714408835,737,175,88
5.586768052365286,737,174,89
5.5868863244975495,736,175,89
5.587179232130641,736,174,90
5.618060578646714,735,175,90
5.636539389479227,735,174,91
5.645430064751846,734,175,91
5.655131203275132,733,176,91
5.669742550786035,732,177,91
5.680569943661978,732,176,92
5.683134812581075,732,175,93
5.697775535127489,732,174,94
5.702131030417122,731,175,94
5.709475901311367,731,174,95
5.711982688371178,730,175,95
5.712685730984651,730,174,96
5.722236582278117,729,175,96
5.730686712903896,728,176,96
5.748898993091073,727,177,96
5.750011234699674,727,176,97
5.770068606992303,726,177,97
5.773874303715477,725,178,97
5.776278384579544,724,179,97
5.779962442438084,723,180,97
5.783109659535526,722,181,97
5.7890905792772465,722,180,98
5.794288161024694,722,179,99
5.807670585252598,721,180,99
5.816775910004047,721,179,100
5.830651193350141,720,180,100
5.835263163935611,719,181,100
5.837782284446143,719,180,101
5.839009318817674,718,181,101
5.848094102203053,717,182,101
5.8501744928856905,716,183,101
5.855326958743062,715,184,101
5.861965958901004,714,185,101
5.882148167719482,713,186,101
5.888686139294087,713,185,102
5.900913612439327,712,186,102
5.903752850454032,712,185,103
5.906894750260508,711,186,103
5.910046029830434,710,187,103
5.924286750679762,709,188,103
5.9313137137481595,708,189,103
5.932071872709989,708,188,104
5.933349538174383,707,189,104
5.936966194789496,707,188,105
5.95014232185076,706,189,105
5.954453889886909,705,190,105
5.958780677636025,704,191,105
5.959026618762455,704,190,106
5.960242982292225,703,191,106
5.9635427641292775,703,190,107
5.965631849901936,702,191,107
5.967460204560124,702,190,108
5.970018670161422,701,191,108
5.970935303073204,700,192,108
5.976317002606722,699,193,108
5.984643599406588,698,194,108
5.991313193882297,697,195,108
6.000765152552645,696,196,108
6.005691001063575,696,195,109
6.009571697314077,695,196,109
6.012208792317418,695,195,110
6.015675834114329,694,196,110
6.02538087061108,694,195,111
6.037874593260452,693,196,111
6.0400677973766115,692,197,111
6.048984778426429,691,198,111
6.068382621440477,690,199,111
6.0686391741697046,689,200,111
6.08226420945562,688,201,111
6.083096294882268,687,202,111
6.092887217796759,686,203,111
6.097197379570527,686,202,112
6.097628410048524,686,201,113
6.104216637769494,685,202,113
6.109704941044604,684,203,113
6.110963322561917,683,204,113
6.113807943546392,682,205,113
6.114423590630897,681,206,113
6.118259160597403,680,207,113
6.1204559804708,679,208,113
6.133772944312403,679,207,114
6.136942135130369,679,206,115
6.137138306275355,678,207,115
6.146325451219511,677,208,115
6.153330662557014,676,209,115
6.163512595258648,675,210,115
6.164938805324452,674,211,115
6.167501326348046,674,210,116
6.186861425718526,673,211,116
6.19932016956769,672,212,116
6.206155484288251,671,213,116
6.211315360897649,670,214,116
6.211909492208243,669,215,116
6.2122825150361995,668,216,116
6.227276912447052,667,217,116
6.2279172894936,666,218,116
6.2451915233389395,665,219,116
6.254174095245702,665,218,117
6.258791617767825,664,219,117
6.265553130343666,663,220,117
6.270738705123008,662,221,117
6.274744786587546,661,222,117
6.277812027900835,660,223,117
6.281865099619587,659,224,117
6.28378027251959,659,223,118
6.284029657068924,658,224,118
6.293217054532468,657,225,118
6.29981190949526,656,226,118
6.306167356172851,655,227,118
6.332445520837223,654,228,118
6.336009489981522,653,229,118
6.342309747165587,652,230,118
6.344491486628665,652,229,119
6.350496646232008,651,230,119
6.357574304811577,650,231,119
6.370508638213891,649,232,119
6.376773430466095,648,233,119
6.379242284877654,647,234,119
6.381117611089838,647,233,120
6.382265152048775,646,234,120
6.3852927154712615,646,233,121
6.404882239013929,646,232,122
6.409367126722473,646,231,123
6.412263936310087,646,230,124
6.42503943563212,645,231,124
6.425069420133976,645,230,125
6.443999449161486,644,231,125
6.447675676486498,643,232,125
6.4523224080084765,642,233,125
6.452539461536781,641,234,125
6.452814505404351,640,235,125
6.459470080285111,640,234,126
6.461074782085493,639,235,126
6.462306196921761,639,234,127
6.470181204570836,639,233,128
6.480081952363452,639,232,129
6.48626555602217,639,231,130
6.487169663344245,639,230,131
6.496024472716849,639,229,132
6.497778076875573,638,230,132
6.501949798849651,637,231,132
6.504093109139441,636,232,132
6.534231385745273,636,231,133
6.5497788044363805,636,230,134
6.552607262617119,635,231,134
6.556881323280419,634,232,134
6.563880117462675,634,231,135
6.564706862252315,633,232,135
6.5660299983478625,632,233,135
6.569459551849135,632,232,136
6.5704915509294315,631,233,136
6.5835194637221734,630,234,136
6.585613479707283,629,235,136
6.588331904688019,628,236,136
6.599640937946835,627,237,136
6.5996454417428945,626,238,136
6.599700132637245,625,239,136
6.601399184742732,624,240,136
6.608940444835737,624,239,137
6.611109356723664,623,240,137
6.611290399634505,623,239,138
6.6153498506157264,622,240,138
6.632871158350022,621,241,138
6.656169404141494,620,242,138
6.658649406521144,619,243,138
6.659716000635427,618,244,138
6.670553293622424,617,245,138
6.672539909155866,617,244,139
6.678776080894777,617,243,140
6.681477207221186,617,242,141
6.689405828197587,616,243,141
6.704015025199341,615,244,141
6.719182884837425,615,243,142
6.720503559310148,614,244,142
6.721350818724438,614,243,143
6.7256412508133065,613,244,143
6.735777464479318,613,243,144
6.737036477301975,612,244,144
6.741256680284199,612,243,145
6.749270012946993,611,244,145
6.760523644956303,611,243,146
